#raw fastq2 quality distribution
Pos	Q0	Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10	Q11	Q12	Q13	Q14	Q15	Q16	Q17	Q18	Q19	Q20	Q21	Q22	Q23	Q24	Q25	Q26	Q27	Q28	Q29	Q30	Q31	Q32	Q33	Q34	Q35	Q36	Q37	Q38	Q39	Q40	Mean	Median	Lower quartile	Upper quartile	10th percentile	90th percentile
1	0	0	1	1	1	1	1	1	2	3	0	1	3	1	3	0	3	4	0	1	3	3	4	6	5	13	5	12	18	16	30	46	74	167	355	400	253	164	53	69	6	34.00	35	34	36	31	37
2	0	0	0	1	0	1	1	1	3	0	4	0	1	1	2	2	3	1	3	4	5	5	2	3	7	7	11	10	18	27	32	43	75	134	346	426	270	142	45	88	5	34.00	35	34	36	31	37
3	0	0	0	0	0	4	1	1	2	0	1	0	1	3	2	0	3	9	7	2	9	3	6	8	5	8	12	19	21	19	31	46	90	162	344	382	267	136	60	62	3	33.00	35	33	36	30	37
4	0	0	1	0	0	1	2	1	0	1	1	3	1	3	2	1	3	2	2	3	2	2	4	9	9	9	8	20	15	22	35	33	113	142	345	353	263	163	67	79	9	34.00	35	33	36	31	37
5	0	0	1	2	1	2	0	1	0	0	1	1	0	1	0	0	2	0	9	5	1	5	8	8	8	14	12	20	17	21	38	43	88	175	326	383	263	143	55	69	6	33.00	35	33	36	30	37
6	0	0	0	0	3	2	1	1	0	1	5	3	2	3	3	5	1	5	4	7	3	4	5	6	4	7	8	16	20	19	24	55	79	149	310	376	279	153	66	93	7	33.00	35	33	36	31	37
7	0	0	1	0	1	3	0	0	3	0	1	2	3	4	1	5	2	2	5	2	8	2	7	6	6	11	13	9	18	19	33	55	101	156	320	411	233	142	59	82	3	33.00	35	33	36	31	37
8	0	1	1	0	2	2	3	2	4	3	1	1	4	1	1	1	3	2	5	7	3	1	11	4	5	14	6	13	21	14	32	34	115	148	316	394	246	170	60	65	13	33.00	35	33	36	31	37
9	0	0	2	1	1	2	3	1	2	1	3	1	0	0	2	3	3	4	6	4	9	5	8	6	6	8	9	11	17	19	38	39	93	145	337	394	246	159	51	84	6	33.00	35	33	36	30	37
10	0	0	2	0	0	2	1	0	2	2	1	1	6	3	3	2	1	3	1	6	2	5	2	7	4	11	12	7	21	20	30	53	102	164	351	399	235	134	51	79	4	33.00	35	33	36	31	37
11	0	0	0	0	1	2	1	0	3	1	1	0	3	0	2	2	1	1	3	4	3	7	7	8	11	9	13	15	19	13	30	41	94	141	346	360	264	166	63	90	4	34.00	35	33	36	31	37
12	0	0	1	1	2	1	1	3	1	1	2	1	4	3	3	3	4	1	4	1	3	7	6	12	6	13	13	17	23	30	28	55	91	160	325	372	252	144	57	71	7	33.00	35	33	36	30	37
13	0	0	2	2	0	1	2	1	2	1	0	2	0	1	2	2	0	1	5	3	3	4	3	3	6	10	8	14	18	32	35	36	94	149	348	402	246	151	51	79	10	34.00	35	33	36	31	37
14	0	0	0	2	1	1	1	1	4	1	0	4	4	3	2	1	2	6	5	2	3	4	8	5	8	9	7	14	19	17	30	47	95	145	328	372	259	157	57	92	13	33.00	35	33	36	31	37
15	0	0	0	2	0	4	1	1	2	1	0	3	2	4	6	4	5	4	4	4	6	9	5	7	9	8	10	10	15	26	34	45	95	163	326	378	259	140	61	71	5	33.00	35	33	36	30	37
16	0	0	2	3	0	2	3	2	3	3	2	2	5	2	2	2	3	4	3	4	2	7	7	7	7	7	12	19	16	15	38	57	112	165	327	384	232	134	63	62	9	33.00	35	33	36	30	37
17	0	0	0	0	2	2	2	1	2	3	0	2	0	2	1	7	3	3	5	4	7	5	6	12	9	15	11	18	18	21	43	46	88	139	364	359	247	138	52	84	8	33.00	35	33	36	30	37
18	0	0	0	3	0	0	0	4	0	2	0	1	2	5	2	2	1	0	5	6	4	2	6	7	8	15	9	23	13	25	31	37	93	154	332	376	258	149	70	72	12	33.00	35	33	36	30	37
19	0	0	0	2	1	0	1	1	3	1	2	0	3	3	4	2	0	5	3	5	6	4	7	6	4	10	9	16	17	27	51	41	108	156	326	361	251	156	51	77	9	33.00	35	33	36	30	37
20	0	0	0	0	0	2	1	2	1	1	0	1	1	2	3	6	2	9	8	6	8	7	9	11	7	12	9	18	19	22	37	50	85	161	345	369	254	135	55	68	3	33.00	35	33	36	30	37
21	0	0	2	1	0	2	3	1	1	0	2	3	0	0	2	4	4	3	9	8	4	7	8	9	8	10	8	10	25	16	54	60	95	150	315	370	233	166	50	71	15	33.00	35	33	36	30	37
22	0	0	1	0	1	2	3	2	2	2	2	2	1	1	7	2	0	2	3	3	9	6	12	11	9	11	11	9	30	31	33	42	79	168	313	368	262	150	50	77	12	33.00	35	33	36	29	37
23	0	1	1	0	1	0	0	1	2	0	1	5	3	2	2	0	3	8	2	4	4	3	4	5	4	15	11	18	19	29	33	52	98	146	342	356	243	148	69	88	6	33.00	35	33	36	30	37
24	0	0	2	2	1	2	0	2	3	1	3	3	3	5	3	3	5	2	6	8	3	4	11	11	11	18	12	15	15	28	48	41	93	142	326	341	257	143	72	79	5	33.00	35	33	36	29	37
25	0	1	0	2	0	1	0	0	0	3	2	2	3	3	1	4	2	7	4	7	7	4	2	6	10	11	11	6	14	28	44	36	93	147	326	379	258	151	74	75	5	33.00	35	33	36	30	37
26	0	0	0	0	1	4	0	4	2	3	2	3	5	2	2	2	2	3	4	3	6	8	6	10	7	9	10	11	18	30	38	50	107	178	347	350	209	142	57	88	6	33.00	34	33	36	30	37
27	0	0	1	0	0	1	2	3	3	2	0	1	1	6	3	2	5	1	3	4	2	5	7	6	7	6	17	17	27	20	33	36	104	134	352	384	261	142	45	81	5	33.00	35	33	36	30	37
28	0	0	3	0	2	2	1	2	4	2	1	4	5	1	3	4	5	3	4	9	11	16	7	7	8	9	8	21	26	20	27	53	105	158	325	322	266	152	60	67	6	33.00	35	33	36	29	37
29	0	1	1	1	1	1	2	1	6	2	3	4	3	5	1	4	2	2	4	5	4	2	6	10	10	15	6	15	16	21	56	54	83	151	300	388	269	141	53	74	6	33.00	35	33	36	30	37
30	0	0	1	1	1	0	0	2	0	1	0	2	3	2	2	3	2	2	4	6	8	10	5	7	4	14	11	14	16	21	50	51	109	144	343	355	276	112	60	78	9	33.00	35	33	36	30	37
31	0	1	2	3	2	0	1	4	3	1	0	4	1	3	3	5	1	1	3	3	13	4	8	7	8	12	13	14	21	26	39	52	103	163	336	340	253	147	62	59	8	33.00	35	33	36	30	37
32	0	0	2	1	0	3	2	2	2	1	2	3	4	4	3	3	7	2	4	5	12	8	8	5	9	16	11	15	28	18	45	60	86	171	309	337	248	148	58	79	8	33.00	35	33	36	29	37
33	0	0	2	1	1	2	0	0	0	0	1	2	6	3	2	6	6	4	5	4	4	10	9	5	6	8	4	17	16	17	33	45	90	178	312	371	280	140	72	64	3	33.00	35	33	36	30	37
34	0	0	0	0	0	3	3	3	3	1	0	3	5	4	2	5	4	9	10	4	6	9	5	8	10	17	15	6	25	23	32	38	98	149	330	342	266	147	66	73	5	33.00	35	33	36	29	37
35	0	1	0	0	1	4	1	1	1	1	3	2	2	3	4	4	4	4	3	8	4	9	6	7	10	9	12	11	18	37	35	40	100	158	327	348	229	164	59	90	9	33.00	35	33	36	30	37
36	0	0	0	1	3	0	1	2	2	2	1	1	6	3	3	7	6	5	7	5	8	6	12	15	15	12	13	20	20	30	33	59	94	142	339	346	241	143	57	65	4	33.00	34	33	36	28	37
37	0	0	0	3	1	4	0	1	6	0	1	3	2	7	2	3	3	5	3	5	4	7	7	13	11	12	4	17	26	29	42	54	104	154	302	358	257	139	60	75	5	33.00	35	33	36	29	37
