Position in reads	Percentage of Q20+ bases	Percentage of Q30+ bases	Percentage of Clean Q20+	Percentage of Clean Q30+
1	94.22%	83.57%	94.22%	83.57%
2	95.89%	86.70%	95.89%	86.70%
3	95.95%	85.83%	95.95%	85.83%
4	96.01%	87.22%	96.01%	87.22%
5	95.66%	85.14%	95.66%	85.14%
6	95.78%	86.47%	95.78%	86.47%
7	97.05%	89.07%	97.05%	89.07%
8	96.65%	86.35%	96.65%	86.35%
9	93.93%	83.40%	93.93%	83.40%
10	96.53%	88.90%	96.53%	88.90%
11	94.62%	85.08%	94.62%	85.08%
12	97.17%	87.33%	97.17%	87.33%
13	95.03%	84.04%	95.03%	84.04%
14	96.36%	89.36%	96.36%	89.36%
15	96.65%	86.87%	96.65%	86.87%
16	95.78%	86.81%	95.78%	86.81%
17	95.66%	87.10%	95.66%	87.10%
18	95.89%	86.47%	95.89%	86.47%
19	97.69%	88.14%	97.69%	88.14%
20	95.43%	83.52%	95.43%	83.52%
21	95.08%	84.85%	95.08%	84.85%
22	96.01%	88.90%	96.01%	88.90%
23	96.30%	86.87%	96.30%	86.87%
24	96.07%	87.62%	96.07%	87.62%
25	95.89%	83.29%	95.89%	83.29%
26	95.95%	87.57%	95.95%	87.57%
27	96.53%	87.62%	96.53%	87.62%
28	96.30%	88.66%	96.30%	88.66%
29	94.10%	82.94%	94.10%	82.94%
30	96.18%	86.81%	96.18%	86.81%
31	96.53%	88.32%	96.53%	88.32%
32	95.84%	86.99%	95.84%	86.99%
33	97.05%	87.97%	97.05%	87.97%
34	95.03%	86.06%	95.03%	86.06%
35	96.24%	86.29%	96.24%	86.29%
36	96.12%	87.68%	96.12%	87.68%
37	95.49%	86.29%	95.49%	86.29%
38	95.84%	83.34%	95.84%	83.34%
39	95.78%	86.76%	95.78%	86.76%
40	95.89%	85.08%	95.89%	85.08%
41	96.07%	86.18%	96.07%	86.18%
42	94.10%	82.65%	94.10%	82.65%
43	97.34%	88.55%	97.34%	88.55%
44	95.89%	86.87%	95.89%	86.87%
45	96.07%	85.31%	96.07%	85.31%
46	96.88%	88.32%	96.88%	88.32%
47	96.07%	86.81%	96.07%	86.81%
48	96.01%	87.57%	96.01%	87.57%
49	94.74%	85.14%	94.74%	85.14%
50	95.03%	83.75%	95.03%	83.75%
51	96.18%	87.97%	96.18%	87.97%
52	95.49%	85.77%	95.49%	85.77%
53	94.68%	84.79%	94.68%	84.79%
54	96.82%	89.07%	96.82%	89.07%
55	95.08%	86.12%	95.08%	86.12%
56	94.04%	84.56%	94.04%	84.56%
57	96.07%	86.52%	96.07%	86.52%
58	97.05%	88.37%	97.05%	88.37%
59	94.97%	83.98%	94.97%	83.98%
60	95.89%	85.31%	95.89%	85.31%
61	95.43%	87.57%	95.43%	87.57%
62	95.14%	83.86%	95.14%	83.86%
63	95.72%	87.16%	95.72%	87.16%
64	95.78%	88.03%	95.78%	88.03%
65	94.16%	83.29%	94.16%	83.29%
66	95.08%	84.62%	95.08%	84.62%
67	94.85%	85.37%	94.85%	85.37%
68	95.95%	88.55%	95.95%	88.55%
69	94.97%	83.46%	94.97%	83.46%
70	95.43%	84.79%	95.43%	84.79%
71	95.32%	85.48%	95.32%	85.48%
72	95.66%	86.64%	95.66%	86.64%
73	96.24%	85.83%	96.24%	85.83%
74	95.89%	85.95%	95.89%	85.95%
75	95.08%	86.18%	95.08%	86.18%
76	95.84%	88.37%	95.84%	88.37%
77	95.84%	85.43%	95.84%	85.43%
78	95.37%	86.35%	95.37%	86.35%
79	94.85%	85.08%	94.85%	85.08%
80	97.69%	88.72%	97.69%	88.72%
81	95.49%	86.18%	95.49%	86.18%
82	95.43%	87.28%	95.43%	87.28%
83	95.89%	86.99%	95.89%	86.99%
84	95.32%	84.50%	95.32%	84.50%
85	95.60%	85.37%	95.60%	85.37%
86	94.39%	83.29%	94.39%	83.29%
87	96.59%	88.03%	96.59%	88.03%
88	94.68%	83.57%	94.68%	83.57%
89	95.08%	85.14%	95.08%	85.14%
90	95.78%	85.43%	95.78%	85.43%
91	94.79%	85.71%	94.79%	85.71%
92	95.08%	84.56%	95.08%	84.56%
93	95.14%	85.54%	95.14%	85.54%
94	95.49%	87.22%	95.49%	87.22%
95	94.79%	85.08%	94.79%	85.08%
96	95.14%	85.43%	95.14%	85.43%
97	95.08%	84.85%	95.08%	84.85%
98	95.55%	87.80%	95.55%	87.80%
99	94.85%	84.27%	94.85%	84.27%
100	95.49%	85.19%	95.49%	85.19%
101	94.79%	84.56%	94.79%	84.56%
102	95.08%	86.12%	95.08%	86.12%
103	95.49%	85.77%	95.49%	85.77%
104	93.64%	83.40%	93.64%	83.40%
105	94.74%	85.14%	94.74%	85.14%
106	94.74%	84.90%	94.74%	84.90%
107	95.95%	87.04%	95.95%	87.04%
108	95.55%	86.23%	95.55%	86.23%
109	95.89%	87.62%	95.89%	87.62%
110	93.93%	83.75%	93.93%	83.75%
111	96.47%	87.33%	96.47%	87.33%
112	96.18%	87.39%	96.18%	87.39%
113	95.43%	84.96%	95.43%	84.96%
114	94.51%	85.08%	94.51%	85.08%
115	94.27%	85.37%	94.27%	85.37%
116	94.97%	84.56%	94.97%	84.56%
117	94.91%	84.04%	94.91%	84.04%
118	95.55%	85.02%	95.55%	85.02%
119	94.91%	85.71%	94.91%	85.71%
120	94.85%	84.90%	94.85%	84.90%
121	95.78%	86.70%	95.78%	86.70%
122	95.78%	87.04%	95.78%	87.04%
123	95.32%	86.64%	95.32%	86.64%
124	94.22%	85.37%	94.22%	85.37%
125	95.72%	86.06%	95.72%	86.06%
126	94.62%	85.71%	94.62%	85.71%
127	95.03%	85.37%	95.03%	85.37%
128	95.66%	87.16%	95.66%	87.16%
129	94.79%	87.04%	94.79%	87.04%
130	93.41%	81.84%	93.41%	81.84%
131	94.39%	85.19%	94.39%	85.19%
132	94.62%	85.31%	94.62%	85.31%
133	95.60%	86.35%	95.60%	86.35%
134	95.95%	86.00%	95.95%	86.00%
135	94.51%	83.29%	94.51%	83.29%
136	94.62%	83.34%	94.62%	83.34%
137	94.39%	85.83%	94.39%	85.83%
138	94.85%	85.37%	94.85%	85.37%
139	92.83%	81.84%	92.83%	81.84%
140	94.22%	86.29%	94.22%	86.29%
141	93.75%	83.40%	93.75%	83.40%
142	94.51%	84.15%	94.51%	84.15%
143	94.33%	83.46%	94.33%	83.46%
144	94.04%	85.54%	94.04%	85.54%
145	94.04%	85.43%	94.04%	85.43%
146	93.64%	83.98%	93.64%	83.98%
147	94.45%	85.31%	94.45%	85.31%
148	93.93%	83.52%	93.93%	83.52%
149	94.68%	85.31%	94.68%	85.31%
150	92.48%	82.94%	92.48%	82.94%
